Spring,2015
Transfer Cum GPA 10.000 10.000 0.000,0.000
Combined Cum GPA 3.231 26.000 23.000 13.000,42.000
Term GPA 3.231 16.000 13.000 13.000,42.000
Transfer Term GPA 10.000 10.000 0.000,0.000
Combined GPA 3.231 26.000 23.000 13.000,42.000
Course Description AHRS EHRS Grade,Points
CHEM 152 General Chemistry II 4.000 4.000 B,12.000
ENGL 102 First-Year Composition 3.000 3.000 A,12.000
MUS 107 Underst Mus thru Listng 3.000 3.000 A,12.000
NES 160A1 The Religion of Islam 3.000 3.000 A,12.000
PSY 150A1 Structure of Mind Behavior 3.000 3.000 A,12.000
Term GPA 3.750 16.000 16.000 16.000,60.000
Transfer Term GPA 0.000 0.000 0.000,0.000
Combined GPA 3.750 16.000 16.000 16.000,60.000
Course Description AHRS EHRS Grade,Points
CHEM 151 General Chemistry I 4.000 4.000 B,12.000
ENGL 101 First-Year Composition 3.000 3.000 A,12.000
GER 160D1 Eroticism+Love Mid Ages 3.000 3.000 B,9.000
MCB 181R Introductory Biology I 3.000 0.000 D,0.000
170C1 Nutrition Food and You 3.000 3.000 B,9.000
Paradise Valley Community College,4.000
Pima Community College,6.000
Colleges Letters Arts Science 06 16 2011 Active in Program,Pre-Nursing
Colleges Letters Arts Science 06 08 2012 Active in Program Major in General Studies Science Technology Health and Society,Emphasis
Colleges Letters Arts Science 11 04 2012 Active in Program Major in General Studies Science Technology Health and Society Emphasis Minor in Public,Health
Colleges Letters Arts Science 12 11 2012 Active in Program Major in General Studies Science Technology Health and Society Emphasis Minor in Public Health Minor in Family Studies and Human,Development
College of Nursing 01 29 2013 Active in Program Pre-Nursing Minor in Family Studies and Human Development Minor in Public,Health
College of Nursing 10 24 2013 Active in Program Major in Nursing Minor in Family Studies and Human,Development
Course Description AHRS EHRS Grade,Points
FREN 373 US Francophone Hip-Hop Cult 3.000 3.000 A,12.000
MAS 150B1 Sex AIDS in the 21st Century 3.000 3.000 A,12.000
MATH 163 Basic Statistics 3.000 3.000 B,9.000
MCB 181R Introductory Biology I 3.000 3.000 B,9.000
PSIO 202 Human Anat+Physiology II 4.000 4.000 A,16.000
Cum GPA 3.517 32.000 29.000 29.000,102.000
Transfer Cum GPA 10.000 10.000 0.000,0.000
Combined Cum GPA 3.517 42.000 39.000 29.000,102.000
Course Description AHRS EHRS Grade,Points
CPH 387 Hlth Disparities Minor Hlth 3.000 3.000 A,12.000
EDP 200 Evolution+Human Developm 3.000 3.000 A,12.000
MIC 205A General Microbiology 3.000 3.000 B,9.000
NSC 170C1 Nutrition Food and You 3.000 0.000 A,12.000
PHIL 160D2 Mind Matter and God 3.000 3.000 B,9.000
Term GPA 3.600 15.000 12.000 15.000,54.000
Transfer Term GPA 0.000 0.000 0.000,0.000
Combined GPA 3.600 15.000 12.000 15.000,54.000
Cum GPA 3.556 48.000 45.000 45.000,160.000
Transfer Cum GPA 10.000 10.000 0.000,0.000
Combined Cum GPA 3.556 58.000 55.000 45.000,160.000
Term GPA 3.625 16.000 16.000 16.000,58.000
Transfer Term GPA 0.000 0.000 0.000,0.000
Combined GPA 3.625 16.000 16.000 16.000,58.000
CON 501,NR
CON 598,NR
CON 540,NR
CON 557,NR
CON 589,NR
CON 598,NR
CEE 340-M,A
CON 310-M,A
CON 383-M,A
CON 424-M,B
CON 468-M,A
CON 494-M,A
GCU 441-M,W
PUP 452-M,W
PUP 501-M,A
PUP 520-M,A
PUP 524-M,A
PUP 531-M,W
PUP 598-M,W
PUP 598-M,W
PUP 622-M,W
CON 377-M,A
CON 389-M,A
CON 450-M,A
CON 453-M,A
CON 471-M,A
CON 495-M,B
BIO 494,A
PUP 430,A
CCS 101-M,W
CON 455-M,A
CON 463-M,A
CON 477-M,A
CON 496-M,A
CON 598,A
CON 598,A
CON 243-M,A
ACC 230-M,B
CON 221-M,B
CON 252-M,A
CON 341-M,B
ECE 294-M,A
GNB 411,E
HIS 306,E
JUS 100,E
PHI 103,B
POS 170,E
CON 251-M,A
CON 273-M,A
CON 323-M,A
CON 345-M,A
CON 371-M,A
COM 225-M,B
CON 101-M,A
GLG 101-M,A
GLG 103-M,A
STP 226-M,A
Term GPA 3.333 15.000 15.000 15.000,50.000
Transfer Term GPA 0.000 0.000 0.000,0.000
Combined GPA 3.333 15.000 15.000 15.000,50.000
Cum GPA 3.567 63.000 57.000 60.000,214.000
Transfer Cum GPA 10.000 10.000 0.000,0.000
Combined Cum GPA 3.567 73.000 67.000 60.000,214.000
Course Description AHRS EHRS Grade,Points
FSHD 237 Close Relationships 3.000 3.000 A,12.000
FSHD 323 Infancy Child Developmnt 3.000 3.000 A,12.000
FSHD 347 Neuroethics 3.000 3.000 A,12.000
FSHD 413 Issues In Aging 3.000 3.000 A,12.000
Cum GPA 3.567 123.000 117.000 120.000,428.000
Transfer Cum GPA 10.000 10.000 0.000,0.000
Combined Cum GPA 3.567 133.000 127.000 120.000,428.000
CHEM 151,B
ENGL 101,A
GER 160D1,B
MCB 181R,D
170C1,B
CHEM 152,B
ENGL 102,A
MUS 107,A
NES 160A1,A
PSY 150A1,A
FREN 373,A
MAS 150B1,A
MATH 163,B
MCB 181R,B
PSIO 202,A
FSHD 237,A
FSHD 323,A
FSHD 347,A
FSHD 413,A
NURS 350,A
NURS 356,A
NURS 379,A
NURS 472A,B
CPH 387,A
EDP 200,A
MIC 205A,B
NSC 170C1,A
PHIL 160D2,B
MUS 109,B
NURS 366,B
NURS 368,A
NURS 470,B
NURS 471,A
NURS,473
NURS,478
NURS,479
Cum GPA 3.639 75.000 69.000 72.000,262.000
Transfer Cum GPA 10.000 10.000 0.000,0.000
Combined Cum GPA 3.639 85.000 79.000 72.000,262.000
Term GPA 4.000 12.000 12.000 12.000,48.000
Transfer Term GPA 0.000 0.000 0.000,0.000
Combined GPA 4.000 12.000 12.000 12.000,48.000
